GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ishop,com.epam.brest.summer.courses2019.model,Product,90,0,0,0,20,0,14,0,14,0
ishop,com.epam.brest.summer.courses2019.model,Customer,104,0,0,0,23,0,16,0,16,0
